"Graph 1. Attendance rates for Australians aged 15 and over attending selected cultural venues and events, by region, 2017-18",,,
,Capital cities (%),Balance of state/territory (%),Total (%)
Art galleries,29.7,23.4,27.7
Museums,29.6,23.1,27.5
Libraries and archives,31.8,29,30.9
Live music concerts and performances,39.8,34.7,38.2
Theatre performances,17.6,14.2,16.5
Dance performances,11.1,8.9,10.4
Musicals and operas,17.7,11.9,15.8
Other performing arts,20.3,18.6,19.8
Cinemas and drive-ins,70.8,58.4,66.8
At least one venue or event,84.5,77.8,82.4
,,,
"Source: Australian Bureau of Statistics, Attendance at Selected Cultural Venues and Events, Australia 2017-18 financial year",,,
