property_number,venue_name,venue_address,suburb,postcode,space_type,website,lat,lon
110736,National Gallery of Victoria,"180 St Kilda Road, Southbank, 3006",Southbank,3006,Amusement/Theme Venue,https://www.ngv.vic.gov.au/,-37.8228987,144.9695693
111467,Sea Life Melbourne Aquarium,"Sea Life Melbourne Aquarium, King Street, Melbourne, 3000",Melbourne,3000,Amusement/Theme Venue,https://www.melbourneaquarium.com.au/,-37.82099957,144.9580471
102962,Witches In Britches,"78-86 Dudley Street, West Melbourne, 3003",West Melbourne,3003,Amusement/Theme Venue,http://www.witchesinbritches.com.au/,-37.80900975,144.9526862
650513,Wonderland Under the Melbourne Star,"Shop 5, 101 Waterfront Way, Docklands, 3008",Docklands,3008,Amusement/Theme Venue,https://www.melbournestar.com/?gclid=CjwKCAiAmb7RBRATEiwA7kS8VBQVMosVIhqHOV3pMaapzYqC9b15mj8JCZDZ2QitiLOvI-qVdKuh5hoCTtgQAvD_BwE,-37.81170826,144.9381841
631756,The Emerald Peacock,"233 Lonsdale Street, Melbourne, 3000",Melbourne,3000,Bar,http://theemeraldpeacock.com/,-37.81146925,144.9655499
562238,Manchuria,"Level 1, 7-9 Waratah Place, Melbourne, 3000",Melbourne,3000,Bar,http://www.manchuriabar.com/,-37.8116263,144.9670985
627193,Aria Bar & Lounge,"Podium, 1 Southgate Avenue, Southbank, 3006",Southbank,3006,Bar,http://www.sebeldocklands.com.au/en/meeting-rooms/aria-bar-and-events.html,-37.82047862,144.9658909
540196,The Palms At Crown,"Shop 54A, Level 2, 8 Whiteman Street, Southbank, 3006",Southbank,3006,Bar,https://www.crownmelbourne.com.au/events-conferences/function-venues/the-palms-at-crown,-37.82237606,144.9600572
602248,Workshop,"Level 1, 413-417 Elizabeth Street, Melbourne, 3000",Melbourne,3000,Bar,http://www.workshopbar.com.au/,-37.80915406,144.9606401
543106,The Red Hummingbird,"Level 1, 246 Russell Street, Melbourne, 3000",Melbourne,3000,Bar,https://www.redhummingbird.com.au/,-37.81048859,144.9672238
592872,Belgian Beer Cafe Melbourne,"5 Riverside Quay, Southbank, 3006",Southbank,3006,Bar,https://www.belgianbeercafemelbourne.com.au/,-37.82144024,144.9644607
103994,Insignia On Flinders,"502-504 Flinders Street, Melbourne, 3000",Melbourne,3000,Bar,https://www.zomato.com/melbourne/insignia-flinders-street-cbd-melbourne,-37.82013879,144.9577224
665911,Riverland Bar,"Vault, 1-9 Princes Walk, Melbourne, 3000",Melbourne,3000,Bar,http://www.riverlandbar.com/,-37.81868951,144.9686972
660010,Vamos,"Level 1, 37-41 Little Bourke Street, Melbourne, 3000",Melbourne,3000,Bar,http://www.vamos.net.au/,-37.81074784,144.9714656
635138,Union Electric,"13 Heffernan Lane, Melbourne, 3000",Melbourne,3000,Bar,http://unionelectric.com.au/,-37.81177326,144.9666889
661406,Arbory Bar and Eatery,"2 Flinders Walk, Melbourne, 3000",Melbourne,3000,Bar,http://arbory.com.au/,-37.81890972,144.9667926
109436,Section 8 Bar,"27-29 Tattersalls Lane, Melbourne, 3000",Melbourne,3000,Bar,https://section8.com.au/,-37.81176271,144.9654889
520402,The Bodega,"Shop 2, 47-55 Little Bourke Street, Melbourne, 3000",Melbourne,3000,Bar,https://www.facebook.com/thebodegabar/,-37.81088908,144.9710336
558769,Fiftyfive,"Basement, 55 Elizabeth Street, Melbourne, 3000",Melbourne,3000,Bar,http://www.fifty-five.com.au/,-37.8169766,144.9642232
632394,Troika Bar,"Ground, 106 Little Lonsdale Street, Melbourne, 3000",Melbourne,3000,Bar,http://troikabar.com/,-37.80925121,144.9686269
101236,Angel Music Bar,"12 Bourke Street, Melbourne, 3000",Melbourne,3000,Bar,,-37.81134962,144.9725675
