com_id,common_name,scientific_name,genus,family,date_planted,age_description,latitude,longitude
1049092,Lemon Bottlebrush,Callistemon pallidus,Callistemon,Myrtaceae,1/01/1900,Mature,-37.79004415,144.9462561
1049094,Lemon Bottlebrush,Callistemon pallidus,Callistemon,Myrtaceae,1/01/1900,Mature,-37.79007641,144.94627
1049100,Willow Bottlebrush,Callistemon salignus,Callistemon,Myrtaceae,1/01/1900,Mature,-37.79011886,144.9462746
1049102,Willow Bottlebrush,Callistemon salignus,Callistemon,Myrtaceae,1/01/1900,Mature,-37.79014917,144.9462132
1049104,Willow Bottlebrush,Callistemon salignus,Callistemon,Myrtaceae,1/01/1900,Mature,-37.79013012,144.9462488
1049105,Willow Bottlebrush,Callistemon salignus,Callistemon,Myrtaceae,1/01/1900,Mature,-37.79014877,144.946247
1049111,Willow Bottlebrush,Callistemon salignus,Callistemon,Myrtaceae,1/01/1900,Mature,-37.79009432,144.9462816
1049117,Willow Bottlebrush,Callistemon salignus,Callistemon,Myrtaceae,1/01/1900,Mature,-37.79006223,144.9463538
1049119,Willow Bottlebrush,Callistemon salignus,Callistemon,Myrtaceae,1/01/1900,Mature,-37.79002054,144.9463664
1049122,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78991303,144.9459792
1049128,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78976115,144.9459666
1049129,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78977146,144.9459512
1049133,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78967368,144.9457705
1049135,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,1/01/1900,Mature,-37.78977139,144.9456936
1049137,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,1/01/1900,Mature,-37.78972372,144.9456653
1049138,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,1/01/1900,Mature,-37.78974234,144.9457027
1049139,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,1/01/1900,Mature,-37.78975333,144.9455186
1049141,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,1/01/1900,Mature,-37.78967576,144.9454938
1049151,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78991392,144.9449741
1049154,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78994696,144.9452164
1049156,Bangalay,Eucalyptus botryoides,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78982532,144.9452233
1049157,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78985214,144.9452349
1049158,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78980575,144.9453081
1049163,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.7899248,144.9455502
1049166,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79005009,144.9455944
1049175,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79015387,144.9455504
1049193,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78992437,144.9453998
1049196,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78990319,144.9453504
1049199,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78992746,144.9453546
1049242,Lemon Bottlebrush,Callistemon pallidus,Callistemon,Myrtaceae,1/01/1900,Mature,-37.79013396,144.9454263
1049246,Lemon Bottlebrush,Callistemon pallidus,Callistemon,Myrtaceae,1/01/1900,Mature,-37.79015286,144.9454587
1049248,Lemon Bottlebrush,Callistemon pallidus,Callistemon,Myrtaceae,1/01/1900,Mature,-37.79018109,144.9454677
1049251,Paperbark,Melaleuca sp.,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78983522,144.9451879
1049256,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78983296,144.9451136
1049266,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78974758,144.945199
1049267,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78977097,144.9452093
1049275,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78969116,144.9450141
1049276,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78969811,144.9449689
1049280,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78972905,144.9449132
1049281,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78972549,144.9449303
1049282,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78972766,144.9449461
1049283,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78971032,144.944949
1049291,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78977967,144.9449257
1049292,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78977923,144.9448441
1049295,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78976358,144.9447788
1049298,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78974618,144.9447232
1049308,Paperbark,Melaleuca sp.,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78969847,144.9445941
1049310,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78973074,144.9446164
1049318,Paperbark,Melaleuca sp.,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78968915,144.9446818
1049320,Paperbark,Melaleuca sp.,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78968636,144.9446939
1049322,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78966315,144.9447052
1049326,Paperbark,Melaleuca sp.,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78966261,144.9447762
1049332,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78985915,144.9446474
1049339,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78982238,144.9441953
1049344,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78983919,144.9439471
1049350,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79008597,144.9439162
1049351,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79007517,144.9438959
1049352,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79006541,144.9438775
1049358,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78996757,144.9437663
1049362,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78970402,144.9437137
1049364,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78955407,144.9436162
1049367,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78962663,144.9432625
1049368,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78963509,144.9432827
1049377,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78967714,144.9433642
1049379,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78970039,144.943399
1049381,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78971433,144.9433907
1049394,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78981552,144.9435225
1049399,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78982145,144.9435943
1049400,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78985843,144.9435637
1049401,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78984468,144.9435818
1049404,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.7898362,144.9436332
1049405,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78986373,144.9436433
1049406,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78988421,144.9436083
1049407,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78985472,144.943619
1049412,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.7898655,144.9436677
1049414,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78988944,144.9436966
1049415,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78999248,144.94381
1049421,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79019494,144.9442653
1049424,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.7902239,144.9442675
1049426,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79023662,144.9442908
1049428,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79023031,144.9443165
1049429,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79021555,144.9443153
1049433,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79023433,144.9443705
1049434,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79025914,144.9443861
1049439,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79023923,144.9444075
1049450,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79041779,144.9446764
1049452,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79040919,144.9445357
1049453,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79044692,144.9446206
1049454,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79045121,144.9445841
1049463,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79039902,144.9448997
1049473,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79032814,144.9452372
1049481,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79021936,144.944895
1049501,River Sheoak,Casuarina cunninghamiana,Casuarina,Casuarinaceae,1/01/1900,Mature,-37.79030801,144.9447753
1049523,Paperbark,Melaleuca sp.,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79045468,144.9444739
1049524,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79047508,144.9444804
1049528,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79024755,144.9448286
1049529,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.7902555,144.9448023
1049533,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79022517,144.9447116
1049534,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79024409,144.9447184
1049539,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.7902709,144.9448038
1049544,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79027502,144.9448286
1049575,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79030474,144.9453644
1049637,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79054196,144.9444626
1049638,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79056082,144.9444621
1049641,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.7906038,144.9444635
1049644,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79064812,144.9444554
1049649,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79072893,144.9445468
1049655,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79073746,144.944674
1049657,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.7907054,144.9446663
1049659,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79065606,144.944637
1049661,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79061556,144.9446282
1049662,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79056701,144.9446471
1049664,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79051113,144.9446639
1049665,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79049117,144.9446612
1049679,Paperbark,Melaleuca sp.,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79041855,144.9446427
1049694,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79033753,144.9445624
1049697,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79045137,144.9445718
1049703,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79046535,144.9445309
1049707,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79048664,144.9445204
1049714,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.7905225,144.9445709
1049716,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79049663,144.9445894
1049720,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79057823,144.9445528
1049725,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79061116,144.944537
1049728,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79065531,144.9445437
1049731,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79064607,144.9445849
1049732,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79067082,144.9445684
1049736,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79067301,144.9445439
1049740,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79069982,144.9446086
1049741,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79070687,144.9446222
1049749,Unknown,Melaleuca parvistaminea,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.79072259,144.9446535
1049750,Sugar gum,Eucalyptus cladocalyx,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79106959,144.9463506
1049756,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79117961,144.9466513
1049758,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79116187,144.9467759
1049759,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79124963,144.9467142
1049761,Manna Gum,Eucalyptus viminalis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79126914,144.9466184
1049767,Manna Gum,Eucalyptus viminalis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79129701,144.9464656
1049768,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79127597,144.9464609
1049770,Black Wattle,Acacia melanoxylon,Acacia,Fabaceae,1/01/1900,Mature,-37.7914146,144.9463594
1049772,Black Wattle,Acacia melanoxylon,Acacia,Fabaceae,1/01/1900,Mature,-37.79139729,144.9463282
1049773,Black Wattle,Acacia melanoxylon,Acacia,Fabaceae,1/01/1900,Mature,-37.79140075,144.9463439
1049775,Black Wattle,Acacia melanoxylon,Acacia,Fabaceae,1/01/1900,Mature,-37.791435,144.9463271
1049777,Black Wattle,Acacia melanoxylon,Acacia,Fabaceae,1/01/1900,Mature,-37.79143193,144.9463338
1049779,Black Wattle,Acacia melanoxylon,Acacia,Fabaceae,1/01/1900,Mature,-37.79145282,144.9463246
1049780,Black Wattle,Acacia melanoxylon,Acacia,Fabaceae,1/01/1900,Mature,-37.79145048,144.9463308
1049783,Black Wattle,Acacia melanoxylon,Acacia,Fabaceae,1/01/1900,Mature,-37.791473,144.9463295
1049786,Black Wattle,Acacia melanoxylon,Acacia,Fabaceae,1/01/1900,Mature,-37.79147715,144.946343
1049787,Black Wattle,Acacia melanoxylon,Acacia,Fabaceae,1/01/1900,Mature,-37.79146586,144.9463415
1049790,Black Wattle,Acacia melanoxylon,Acacia,Fabaceae,1/01/1900,Mature,-37.79148406,144.9463737
1049791,Black Wattle,Acacia melanoxylon,Acacia,Fabaceae,1/01/1900,Mature,-37.79148075,144.9463806
1049793,Bangalay,Eucalyptus botryoides,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79123159,144.9472507
1049796,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79117501,144.9473341
1049802,Yellow Gum,Eucalyptus leucoxylon,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79112892,144.9476061
1049806,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79114332,144.947419
1049808,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79164109,144.94697
1049815,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79156383,144.9470241
1049816,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79152773,144.9469774
1049817,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79148339,144.9470706
1049819,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79149374,144.9471986
1049821,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79151,144.9471754
1049826,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79153606,144.9473881
1049827,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79151324,144.9473406
1049830,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79137414,144.9473787
1049832,Wirilda,Acacia retinodes,Acacia,Fabaceae,1/01/1900,Mature,-37.7913329,144.9473807
1049844,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.79152937,144.9476867
